7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE
`Famous for their work on modernist furniture design Charles and Ray Eames were related how?,HUSBAND AND WIFE
A 1952 episode of “I Love Lucy was titled “Lucy Is Enceinte” because what English word was censored?,PREGNANT
A 1960s TV character played by Al Lewis Count Vladimir Dracula is better known by what name?,GRANDPA MUNSTER
A 1985 North Atlantic expedition led by Robert Ballard discovered the wreck of what famous ship 73 years after it sank?,TITANIC
A 1995 documentary subtitled “Hollywood Madam” examines the rise and fall of what scandalous figure?,HEIDI FLEISS
A 2006 study of phone conversations found that which statement was meant sarcastically 23 percent of the time?,YEAHRIGHT
A 2008 study in “Reference Services Review” found which of these websites to be about 80% accurate?,WIKIPEDIA.ORG
A 2009 New York Times article coined the term “Ralph Kramden” to refer to what physical trait?,POT BELLY
A 2010 Billboard hit”Dog Days are Over” is a song by the British band “Florence and the” what?,MACHINE
A 2010 study by dating Web site Badoo.com found which of these nation’s women to be most flirtatious online?,SPAIN
A 2010 study found that nearly 70% of what imported item failed to live up to its claims of being “extra virgin”?,OLIVE OIL
A 2010 Time magazine article debunks the myth that what group of people are “spoiledselfishsolitary misfits”?,ONLY CHILDREN
A 2011 box set celebrates the 13-film collaboration between composer Danny Elfman and what film director?,TIM BURTON
A 2011 New York Times obituary for the late Peter Falk discussed the actor’s 30-plus year gig as what TV character?,COLUMBO
A 20th-century fashion icon Gabrielle Chanel was better known by what nickname?,COCO
A bill of fare is more commonly known as a what?,MENU
A bit in a gossip column that doesn’t mention any names is often called a what?,BLIND ITEM
A bit of folk wisdom warns that when you point a finger at someone how many fingers are pointing back at you?,THREE
A blacksmith works primarily with what metal?,IRON
A blanket or shawl made of colored squares sewn or crocheted together is called a what?,AFGHAN
A book about fashion and gay culture “Don We Now Our Gay Apparel” takes its title from what Christmas carol?,DECK THE HALLS
A Boston nativewhat late night host’s sister made her film debut as one of the Eklund sisters in “The Fighter”?,CONAN O’ BRIEN
A breakthrough in fashion”jeggings” are leggings designed to look like what?,JEANS
A bushel is a standard unit originally used to measure the weight of what?,GRAIN
A caprese salad traditionally includes which of these ingredients?,MOZZARELLA CHEESE
A caramel candy brand since 1903Werther’s Original is named after a town in the Westphalia region of what country?,GERMANY
A cast member of the AMC series “Hell On Wheels” rapper/actor Lonnie Lynn Jr. is better known by what stage name?,COMMON
A chemical compound known as DHA is a common active ingredient in what beauty product?,SELF-TANNER
A child starting kindergarten in September 2010 will ordinarily graduate from high school in what year?,2023
A child starting kindergarten in September of 2010 will ordinarily graduate from high school in what year?,2023
A clarsach–a traditional Irish musical instrument–is a kind of what?,HARP
A classic 1969 work by poet Maya Angelou is titled “I Know Why The Caged Bird” what?,SINGS
A classic 1976 song by Blue Oyster Cult features the advice “Don’t Fear The” what?,REAPER
A classic 1984 Super Bowl commercial titled “1984” introduced what product to the public?,MACINTOSH COMPUTER
A close friend of her Greek actor fatherTelly Savalas was the godfather of which of these movie stars?,JENNIFER ANISTON
A close friend of her Greek actor fatherTelly Savalas was the godfather of which of these movie stars?,JENNIFER ANISTON
A collection of Sanskrit hymns and verses known as the Vedas are sacred texts in what religion?,HINDUISM
A college graduate who participates in an ROTC program graduates with a what?,MILITARY COMMISSION
A common ailmentdyspepsia gets its name from Greek roots meaning “bad” what?,DIGESTION
A common ingredient in ice cream and toothpaste carrageenan is an extract of what?,SEAWEED
A common Italian expression “dolce far niente” means “the sweetness of” what?,DOING NOTHING
A common palindrome begins “A mana plana canal” and ends with what country’s name?,PANAMA
A common pose in yogathe “plank” position closely resembles which of these routine exercises?,PUSH-UPS
A common problem during childhood nocturnal enuresis is a medical term better known as what?,BED WETTING
A common site for piercings the auricle is a cartilaginous region located where on the body?,EAR
A company known for its atlases and maps was born when William Rand went into business with whom?,ANDREW MCNALLY
A contestant on the 2012 season of “Celebrity Apprentice” Dee Snider won fame as frontman for what ’80s band?,TWISTED SISTER
A contestant on the Fall 2011 season of “Dancing With The Stars” Carson Kressley first gained fame on what reality show?,QUEER EYE
A contestant on “Celebrity Apprentice” in 2011 NeNe Leakes is an outspoken “Real Housewife” from what city?,ATLANTA
A couple described as a “Sam and Diane” refers to the on-againoff-again duo of what classic sitcom?,CHEERS
A cowcatcher is a metal grill that is commonly found on the front of what type of vehicle?,TRAIN
A criminal who has “cooked the books” has engaged in what kind of illegal behavior?,ACCOUNTING FRAUD
A crowd of people are running away from a bull on the cover of the 2008 Fodor’s guide to what country?,SPAIN
A cut of beef is said to be “marbled” if it is what?,FLECKED WITH FAT
A dangerous type of what bug gets its name from the port town of Taranto Italy?,SPIDER
A Darwinist isby definitiona believer of what concept?,EVOLUTION
A device some people fear will accidentally create a black holethe Large Hadron Collider is a what?,PARTICLE ACCELERATOR
A dish usually consisting of marinated meatpoultry or fishsatay was originally popularized in what part of the world?,SOUTHEAST ASIA
A disorder where objects appear shrunkenLilliputian hallucinations derives its name from what novel?,GULLIVER’S TRAVELS
